category,subcategory,n_codes_total,n_codes_matched,match_rate_unweighted,departures_total,departures_matched,match_rate_weighted,share_dep_iata,share_dep_icao,share_dep_name_exact,share_dep_us_by_construction,share_dep_ambiguous_group_inconsistent,share_dep_refused_suffix_collision,share_dep_unmatched,note,share_matched_dep_home0,share_matched_dep_home_lt_001,precision_adjusted_match_rate_home0,precision_adjusted_match_rate_lt001
by_year,2009,251,209,0.8326693227091634,1401179.0,1370318.0,0.9779749767874054,0.3454876214958974,0.0007714931496975048,0.015825957996801265,0.6158899041450093,0.0,0.0011732976300672506,0.020851725582527285,,,,,
by_year,2010,265,213,0.8037735849056604,1452032.0,1416094.0,0.9752498567524682,0.342781701780677,0.0007389644305359662,0.016374983471438644,0.6153542070698167,0.0,0.0009311089562764457,0.02381903429125529,,,,,
by_year,2011,265,212,0.8,1475978.0,1440294.0,0.9758234878839658,0.3440193553020438,0.0007703366852351458,0.016431816734395772,0.6146019791622911,0.0,0.0009153252961765013,0.023261186819857747,,,,,
by_year,2012,261,210,0.8045977011494253,1509092.0,1475275.0,0.9775911607774741,0.35024836126624487,0.0002339154935550649,0.017597999326747476,0.6095108846909267,0.0,0.0009290354729864051,0.021479803749539457,,,,,
by_year,2013,255,205,0.803921568627451,1534407.0,1497076.0,0.975670731429145,0.35997033381625604,0.000189649812598613,0.015501754097837144,0.6000089937024531,0.0,0.0014442061330533554,0.022885062437801706,,,,,
by_year,2014,256,206,0.8046875,1581097.0,1542218.0,0.9754101108281149,0.36307133591424184,0.0001966988742626164,0.01664919989096178,0.5954928761486487,0.0,0.0015438647976689602,0.02304602437421613,,,,,
by_year,2015,264,213,0.8068181818181818,1622239.0,1577316.0,0.9723080261293188,0.3758613866390834,0.0003969821955951003,0.020805812213859978,0.5752438450807803,0.0,0.0018221729350607401,0.02586980093562046,,,,,
by_year,2016,272,216,0.7941176470588235,1679258.0,1632094.0,0.9719137857315553,0.38584362855499277,0.0005079624453181108,0.028455424955545844,0.5571067697756985,0.0,0.0025374302221576437,0.02554878404628711,,,,,
by_year,2017,269,210,0.7806691449814126,1726379.0,1674059.0,0.9696937926144839,0.3957526128387799,0.0006435435092757731,0.030708784108240426,0.5425888521581878,0.0,0.002963428076917062,0.027342779308599095,,,,,
by_year,2018,274,211,0.7700729927007299,1784199.0,1723460.0,0.9659572727033251,0.40206389533902887,0.0006619216802610023,0.029276442818317913,0.5339550128657173,0.0,0.0030517896266055522,0.030990937670069316,,,,,
by_year,2019,276,206,0.7463768115942029,1807403.0,1712401.0,0.9474372898573257,0.3947597741068262,0.0007153910887610566,0.021964110937073802,0.5299980137246646,0.0,0.0024316657657423384,0.050131044376931985,,,,,
by_year,2020,257,194,0.754863813229572,772692.0,739218.0,0.9566787283937196,0.354856786403897,0.0013627680887080492,0.009983279236746335,0.5904758946643682,0.0,0.0010107520202098637,0.042310519586070516,,,,,
by_year,2021,235,173,0.7361702127659574,1057187.0,1006940.0,0.9524710387093296,0.3099413821774199,0.0018539766380025484,0.0067339080030306845,0.6339417718908764,0.0,0.0014746681523703942,0.046054293138300034,,,,,
by_year,2022,250,179,0.716,1495553.0,1431842.0,0.9573997043234175,0.3713174992795307,0.0019417566612483811,0.005969029516172278,0.5781714188664662,0.0,0.0010939097444222974,0.04150638593216021,,,,,
by_year,2023,250,178,0.712,1689203.0,1612435.0,0.9545537155688215,0.3820209885963972,0.0019518080420174485,0.004993479173314279,0.5655874397570926,0.0,0.0006162669614013235,0.04483001746977717,,,,,
by_year,2024,262,182,0.6946564885496184,1818413.0,1719332.0,0.9455123781011244,0.3754708088866501,0.002185422123576987,0.006458378817133402,0.561397768273764,0.0,0.0006934618263287823,0.053794160072546775,,,,,
by_year,2025,256,179,0.69921875,1826013.0,1730524.0,0.9477062868665228,0.37478922658272423,0.0020646074261245675,0.005307191131717025,0.5655452617259571,0.0,0.0007962703441870348,0.05149744278929011,,,,,
foreign_by_year,1990,159,99,0.6226415094339622,311333.0,255631.0,0.8210854615476034,0.7947471035836227,0.005020347987524612,0.021318009976456078,0.0,0.0,0.03346577458862376,0.14544876386377287,,,,,
foreign_by_year,1991,173,106,0.6127167630057804,314606.0,259996.0,0.8264178051276835,0.7879442858686738,0.007803411250897949,0.030670108008111735,0.0,0.0,0.034004437296173626,0.13957775757614285,,,,,
foreign_by_year,1992,173,102,0.5895953757225434,334440.0,273839.0,0.8187985886855639,0.7845532831001076,0.009272216242076307,0.024973089343379978,0.0,0.0,0.03783040306183471,0.14337100825260135,,,,,
foreign_by_year,1993,179,107,0.5977653631284916,342404.0,278243.0,0.8126160909335172,0.78889849417647,0.003381969836800972,0.02033562692024626,0.0,0.0,0.038063223560472426,0.14932068550601044,,,,,
foreign_by_year,1994,176,113,0.6420454545454546,359104.0,292898.0,0.8156355818927108,0.7913250757440742,0.002904451078239173,0.021406055070397435,0.0,0.0,0.032622861343788986,0.15174155676350026,,,,,
foreign_by_year,1995,168,109,0.6488095238095238,394314.0,323595.0,0.8206530835831343,0.7966037219069066,0.0018792130129795036,0.02217014866324807,0.0,0.0,0.031233991184690373,0.14811292523217537,,,,,
foreign_by_year,1996,167,107,0.6407185628742516,415414.0,342851.0,0.8253236530304708,0.8002595001612849,0.0007149494239481577,0.024349203445237763,0.0,0.0,0.032028289850606864,0.14264805711892234,,,,,
foreign_by_year,1997,166,108,0.6506024096385542,443333.0,366776.0,0.8273149077555697,0.8067569975616523,0.0008052637633562131,0.019752646430561224,0.0,0.0,0.028461675535094388,0.14422341670933586,,,,,
foreign_by_year,1998,159,106,0.6666666666666666,471559.0,391129.0,0.8294380978838279,0.8069212972289788,0.0010136589482970318,0.021503141706552098,0.0,0.0,0.03285484955222994,0.13770705256394217,,,,,
foreign_by_year,1999,159,109,0.6855345911949685,488333.0,410592.0,0.8408033043025968,0.816074277183807,0.00015972707148605562,0.024569300047303788,0.0,0.0,0.033096268325097836,0.12610042737230537,,,,,
foreign_by_year,2000,142,102,0.7183098591549296,502010.0,433087.0,0.862705922192785,0.8413358299635465,0.0006673173841158543,0.020702774845122607,0.0,0.0,0.029318141072886994,0.107975936734328,,,,,
foreign_by_year,2001,135,102,0.7555555555555555,492610.0,453305.0,0.9202107143582144,0.9015225025882544,0.0006211810560077952,0.018067030713952215,0.0,0.0,0.024090050953086622,0.05569923468869897,,,,,
foreign_by_year,2002,134,103,0.7686567164179104,485534.0,457205.0,0.9416539315475332,0.9200550321913604,0.001763007328014104,0.019835892028158688,0.0,0.0,0.0069511095000556085,0.05139495895241116,,,,,
foreign_by_year,2003,136,107,0.7867647058823529,516730.0,488348.0,0.9450738296595901,0.9092930543997833,0.0015288448512762952,0.03425193040853057,0.0,0.0,0.005105180655274515,0.04982098968513537,,,,,
foreign_by_year,2004,141,114,0.8085106382978723,549182.0,521894.0,0.9503115542752676,0.8856116915703719,0.0041279575805470686,0.060571905124348575,0.0,0.0,0.005338849416040584,0.044349596308691834,,,,,
foreign_by_year,2005,144,114,0.7916666666666666,545786.0,516911.0,0.9470946488184013,0.8864115239306248,0.0037340642669471185,0.05694906062082941,0.0,0.0,0.004633684264528588,0.048271666917070064,,,,,
foreign_by_year,2006,151,119,0.7880794701986755,556374.0,523408.0,0.9407484893255257,0.8904801446509003,0.0031633397678539977,0.047105004906771344,0.0,0.0,0.004888797823047087,0.054362712851427276,,,,,
foreign_by_year,2007,166,125,0.7530120481927711,569161.0,535241.0,0.9404035062135319,0.8970765741152328,0.0010576972069414453,0.04226923489135763,0.0,0.0,0.005608254957736036,0.05398823882873212,,,,,
foreign_by_year,2008,171,129,0.7543859649122807,572745.0,539537.0,0.9420195724100603,0.8981815642214249,0.0014561454050231778,0.04238186278361225,0.0,0.0,0.004040192406742966,0.05394023518319671,,,,,
foreign_by_year,2009,169,127,0.7514792899408284,538207.0,507346.0,0.9426596086635811,0.8994494683272422,0.002008520885086965,0.04120161945125203,0.0,0.0,0.0030545868039620443,0.05428580453245684,,,,,
foreign_by_year,2010,181,129,0.712707182320442,558518.0,522580.0,0.9356547147988068,0.8911619679222514,0.0019211556297200807,0.04257159124683538,0.0,0.0,0.0024206919024991136,0.06192459329869404,,,,,
foreign_by_year,2011,181,128,0.7071823204419889,568839.0,533155.0,0.9372687175105786,0.8926339438751563,0.0019988080986008345,0.04263596553682149,0.0,0.0,0.0023750129650041574,0.06035626952441728,,,,,
