year,carrier_group,is_us_carrier_group,n_rows,n_dep_gt0,n_air_gt0,n_air_zero,n_air_null,n_ramp_gt0,n_ramp_zero,n_ramp_null,n_depsched_gt0,n_mail_gt0,n_seats_gt0,n_pax_gt0,n_dist_gt0,departures
2019,2,True,6127,6114,6125,2,0,6125,2,0,3493,261,3383,3094,6127,113528.0
2019,3,True,39460,39379,39379,81,0,39379,81,0,35833,7345,34717,34461,39460,783112.0
2020,0,False,24001,24001,0,24001,0,0,24001,0,0,0,17614,17018,24001,316436.0
2020,1,True,3404,3349,3349,55,0,3349,55,0,912,76,2293,2014,3404,28079.0
2020,2,True,5316,5313,5314,2,0,5314,2,0,2120,232,2830,2520,5316,49662.0
2020,3,True,24747,24472,24472,275,0,24472,275,0,20174,4247,17439,17308,24747,378515.0
2021,0,False,29816,29816,0,29816,0,0,29816,0,0,0,21606,21000,29816,386992.0
2021,1,True,5196,5133,5133,63,0,5133,63,0,885,92,4058,3264,5196,32379.0
2021,2,True,5422,5418,5422,0,0,5422,0,0,2015,200,2624,2358,5422,46024.0
2021,3,True,35172,35073,35072,100,0,35073,99,0,30511,5310,28296,28157,35172,591792.0
2022,0,False,42821,42821,0,42821,0,0,42821,0,0,0,35887,35291,42821,630867.0
2022,1,True,5640,5604,5603,37,0,5604,36,0,924,100,4646,3806,5640,40757.0
2022,2,True,6805,6800,6803,2,0,6803,2,0,2409,206,3752,3201,6805,66417.0
2022,3,True,42009,41936,41936,73,0,41936,73,0,37406,5938,36185,35985,42009,757512.0
2023,0,False,45933,45933,0,45933,0,0,45933,0,0,0,39615,39158,45933,733811.0
2023,1,True,4595,4581,4580,15,0,4581,14,0,1066,84,3673,3324,4595,45830.0
2023,2,True,6625,6614,6615,10,0,6615,10,0,2302,211,4553,3912,6625,67900.0
2023,3,True,44980,44905,44905,75,0,44905,75,0,39334,6696,38731,38378,44980,841662.0
2024,0,False,49932,49932,0,49932,0,0,49932,0,0,0,43803,43346,49932,797560.0
2024,1,True,3707,3692,3692,15,0,3692,15,0,627,90,3020,2704,3707,40881.0
2024,2,True,5720,5720,5720,0,0,5720,0,0,2312,267,3630,3333,5720,66996.0
2024,3,True,49442,49401,49401,41,0,49401,41,0,42853,7079,43108,42563,49442,912976.0
2025,0,False,50399,50399,0,50399,0,0,50399,0,0,0,45448,45023,50399,793320.0
2025,1,True,4402,4371,4369,33,0,4371,31,0,631,84,3304,3063,4402,49157.0
2025,2,True,5240,5233,5233,7,0,5234,6,0,2183,236,3224,2960,5240,62358.0
2025,3,True,52265,52201,52201,64,0,52201,64,0,45004,7315,45810,45110,52265,921178.0
