nation,year,share_air_time_valid,dep_total,n_rows,covid_flag,match_sensitive,reason
HK,2018,0.0,11826.0,275,False,False,share_air_time_valid < 0.5
HK,2019,0.0,11327.0,299,False,False,share_air_time_valid < 0.5
HK,2020,0.0,2517.0,109,True,False,share_air_time_valid < 0.5
HK,2021,0.0,1596.0,76,True,False,share_air_time_valid < 0.5
HK,2022,0.0,1225.0,83,False,False,share_air_time_valid < 0.5
HK,2023,0.0,3944.0,126,False,False,share_air_time_valid < 0.5
HK,2024,0.0,5833.0,205,False,False,share_air_time_valid < 0.5
HK,2025,0.0,7793.0,254,False,False,share_air_time_valid < 0.5
HU,1993,0.0,356.0,16,False,False,share_air_time_valid < 0.5
HU,1994,0.0,614.0,24,False,False,share_air_time_valid < 0.5
HU,1995,0.0,634.0,24,False,False,share_air_time_valid < 0.5
HU,1996,0.0,572.0,22,False,False,share_air_time_valid < 0.5
HU,1997,0.0,640.0,24,False,False,share_air_time_valid < 0.5
HU,1998,0.0,668.0,24,False,False,share_air_time_valid < 0.5
HU,1999,0.0,625.0,24,False,False,share_air_time_valid < 0.5
HU,2000,0.0,650.0,24,False,False,share_air_time_valid < 0.5
HU,2001,0.0,544.0,24,False,False,share_air_time_valid < 0.5
HU,2002,0.0,540.0,24,False,False,share_air_time_valid < 0.5
HU,2003,0.0,512.0,24,False,False,share_air_time_valid < 0.5
HU,2004,0.0,572.0,24,False,False,share_air_time_valid < 0.5
HU,2005,0.0,534.0,24,False,False,share_air_time_valid < 0.5
HU,2006,0.0,524.0,24,False,False,share_air_time_valid < 0.5
HU,2007,0.0,480.0,31,False,False,share_air_time_valid < 0.5
HU,2008,0.0,46.0,2,False,False,share_air_time_valid < 0.5
ID,1990,0.0,396.0,24,False,False,share_air_time_valid < 0.5
ID,1991,0.0,382.0,24,False,False,share_air_time_valid < 0.5
ID,1992,0.0,417.0,28,False,False,share_air_time_valid < 0.5
ID,1993,0.0,407.0,40,False,False,share_air_time_valid < 0.5
ID,1994,0.0,812.0,67,False,False,share_air_time_valid < 0.5
ID,1995,0.0,2305.0,99,False,False,share_air_time_valid < 0.5
ID,1996,0.0,1207.0,68,False,False,share_air_time_valid < 0.5
ID,1997,0.0,557.0,27,False,False,share_air_time_valid < 0.5
ID,1998,0.0,337.0,22,False,False,share_air_time_valid < 0.5
ID,1999,0.0,11.0,2,False,False,share_air_time_valid < 0.5
IE,1990,0.0,1475.0,78,False,False,share_air_time_valid < 0.5
IE,1991,0.0,1173.0,59,False,False,share_air_time_valid < 0.5
IE,1992,0.0,1306.0,52,False,False,share_air_time_valid < 0.5
IE,1993,0.0,1283.0,62,False,False,share_air_time_valid < 0.5
IE,1994,0.0,1801.0,109,False,False,share_air_time_valid < 0.5
IE,1995,0.0,2214.0,104,False,False,share_air_time_valid < 0.5
IE,1996,0.0,2746.0,142,False,False,share_air_time_valid < 0.5
IE,1997,0.0,2961.0,148,False,False,share_air_time_valid < 0.5
IE,1998,0.0,3376.0,164,False,False,share_air_time_valid < 0.5
IE,1999,0.0,3875.0,175,False,False,share_air_time_valid < 0.5
IE,2000,0.0,4501.0,239,False,False,share_air_time_valid < 0.5
IE,2001,0.0,4856.0,232,False,False,share_air_time_valid < 0.5
IE,2002,0.0,3643.0,131,False,False,share_air_time_valid < 0.5
IE,2003,0.0,4238.0,158,False,False,share_air_time_valid < 0.5
IE,2004,0.0,4531.0,180,False,False,share_air_time_valid < 0.5
IE,2005,0.0,4450.0,154,False,False,share_air_time_valid < 0.5
IE,2006,0.0,4332.0,124,False,False,share_air_time_valid < 0.5
IE,2007,0.0,5002.0,172,False,False,share_air_time_valid < 0.5
IE,2008,0.0,5857.0,213,False,False,share_air_time_valid < 0.5
IE,2009,0.0,4883.0,196,False,False,share_air_time_valid < 0.5
IE,2010,0.0,4221.0,160,False,False,share_air_time_valid < 0.5
IE,2011,0.0,4428.0,164,False,False,share_air_time_valid < 0.5
IE,2012,0.0,4392.0,162,False,False,share_air_time_valid < 0.5
IE,2013,0.0,4413.0,140,False,False,share_air_time_valid < 0.5
IE,2014,0.0,5471.0,160,False,False,share_air_time_valid < 0.5
IE,2015,0.0,6258.0,182,False,False,share_air_time_valid < 0.5
IE,2016,0.0,7286.0,218,False,False,share_air_time_valid < 0.5
IE,2017,0.0,9571.0,270,False,False,share_air_time_valid < 0.5
IE,2018,0.0,9936.0,322,False,False,share_air_time_valid < 0.5
IE,2019,0.0,10588.0,344,False,False,share_air_time_valid < 0.5
IE,2020,0.0,3614.0,144,True,False,share_air_time_valid < 0.5
IE,2021,0.0,2703.0,96,True,False,share_air_time_valid < 0.5
IE,2022,0.0,10314.0,308,False,False,share_air_time_valid < 0.5
IE,2023,0.0,12415.0,379,False,False,share_air_time_valid < 0.5
IE,2024,0.0,12889.0,424,False,False,share_air_time_valid < 0.5
IE,2025,0.0,14369.0,472,False,False,share_air_time_valid < 0.5
IL,1990,0.0,1338.0,1338,False,False,share_air_time_valid < 0.5
IL,1991,0.0,1409.0,1409,False,False,share_air_time_valid < 0.5
IL,1992,0.0,1399.0,1398,False,False,share_air_time_valid < 0.5
IL,1993,0.0,1280.0,243,False,False,share_air_time_valid < 0.5
IL,1994,0.0,1275.0,198,False,False,share_air_time_valid < 0.5
IL,1995,0.0,1491.0,282,False,False,share_air_time_valid < 0.5
IL,1996,0.0,1623.0,354,False,False,share_air_time_valid < 0.5
IL,1997,0.0,1687.0,327,False,False,share_air_time_valid < 0.5
IL,1998,0.0,1937.0,344,False,False,share_air_time_valid < 0.5
IL,1999,0.0,2045.0,298,False,False,share_air_time_valid < 0.5
IL,2000,0.0,2273.0,284,False,False,share_air_time_valid < 0.5
IL,2001,0.0,2060.0,257,False,False,share_air_time_valid < 0.5
IL,2002,0.0,2143.0,179,False,False,share_air_time_valid < 0.5
IL,2003,0.0,2140.0,136,False,False,share_air_time_valid < 0.5
IL,2004,0.0,2530.0,154,False,False,share_air_time_valid < 0.5
IL,2005,0.0,2746.0,165,False,False,share_air_time_valid < 0.5
IL,2006,0.0,2966.0,205,False,False,share_air_time_valid < 0.5
IL,2007,0.0,3033.0,190,False,False,share_air_time_valid < 0.5
IL,2008,0.0,2486.0,142,False,False,share_air_time_valid < 0.5
IL,2009,0.0,2207.0,129,False,False,share_air_time_valid < 0.5
IL,2010,0.0,2222.0,122,False,False,share_air_time_valid < 0.5
IL,2011,0.0,2230.0,129,False,False,share_air_time_valid < 0.5
IL,2012,0.0,2279.0,127,False,False,share_air_time_valid < 0.5
IL,2013,0.0,2307.0,120,False,False,share_air_time_valid < 0.5
IL,2014,0.0,2306.0,118,False,False,share_air_time_valid < 0.5
IL,2015,0.0,2470.0,131,False,False,share_air_time_valid < 0.5
IL,2016,0.0,2626.0,165,False,False,share_air_time_valid < 0.5
IL,2017,0.0,2709.0,153,False,False,share_air_time_valid < 0.5
IL,2018,0.0,3165.0,192,False,False,share_air_time_valid < 0.5
IL,2019,0.0,3406.0,237,False,False,share_air_time_valid < 0.5
IL,2020,0.0,908.0,115,True,False,share_air_time_valid < 0.5
IL,2021,0.0,1914.0,142,True,False,share_air_time_valid < 0.5
IL,2022,0.0,3301.0,177,False,False,share_air_time_valid < 0.5
IL,2023,0.0,3991.0,209,False,False,share_air_time_valid < 0.5
IL,2024,0.0,4717.0,225,False,False,share_air_time_valid < 0.5
IL,2025,0.0,4345.0,225,False,False,share_air_time_valid < 0.5
IN,1990,0.0,711.0,24,False,False,share_air_time_valid < 0.5
IN,1991,0.0,706.0,24,False,False,share_air_time_valid < 0.5
IN,1992,0.0,694.0,24,False,False,share_air_time_valid < 0.5
IN,1993,0.0,571.0,20,False,False,share_air_time_valid < 0.5
IN,1994,0.0,723.0,24,False,False,share_air_time_valid < 0.5
IN,1995,0.0,720.0,24,False,False,share_air_time_valid < 0.5
IN,1996,0.0,691.0,24,False,False,share_air_time_valid < 0.5
IN,1997,0.0,992.0,43,False,False,share_air_time_valid < 0.5
IN,1998,0.0,1170.0,62,False,False,share_air_time_valid < 0.5
IN,1999,0.0,1142.0,56,False,False,share_air_time_valid < 0.5
IN,2000,0.0,1044.0,48,False,False,share_air_time_valid < 0.5
IN,2001,0.0,980.0,48,False,False,share_air_time_valid < 0.5
